Cuisine 1,Cuisine 2,Item_count,item
italian,none,4,citrus fruit semi-finished bread margarine ready soups
italian,french,3,tropical fruit yogurt coffee
indian,southern_us,1,whole milk
mexican,italian,4,pip fruit yogurt cream cheese meat spreads
brazilian,filipino,4,other vegetables whole milk condensed milk long life bakery product
indian,brazilian,5,whole milk butter yogurt rice abrasive cleaner
southern_us,italian,1,rolls/buns
french,southern_us,5,other vegetables UHT-milk rolls/buns bottled beer liquor (appetizer)
mexican,italian,1,potted plants
indian,southern_us,2,whole milk cereals
italian,mexican,5,tropical fruit other vegetables white bread bottled water chocolate
british,indian,9,citrus fruit tropical fruit whole milk butter curd yogurt flour bottled water dishes
mexican,french,1,beef
irish,southern_us,3,frankfurter rolls/buns soda
italian,southern_us,2,chicken tropical fruit
southern_us,mexican,4,butter sugar fruit/vegetable juice newspapers
mexican,southern_us,1,fruit/vegetable juice
italian,mexican,1,packaged fruit/vegetables
italian,southern_us,1,chocolate
southern_us,italian,1,specialty bar
italian,filipino,1,other vegetables
french,british,2,butter milk pastry
indian,southern_us,1,whole milk
mexican,southern_us,5,tropical fruit cream cheese processed cheese detergent newspapers
italian,cajun_creole,11,tropical fruit root vegetables other vegetables frozen dessert rolls/buns flour sweet spreads salty snack waffles candy bathroom cleaner
mexican,italian,2,bottled water canned beer
indian,greek,1,yogurt
italian,french,4,sausage rolls/buns soda chocolate
italian,filipino,1,other vegetables
irish,mexican,6,brown bread soda fruit/vegetable juice canned beer newspapers shopping bags
indian,greek,4,yogurt beverages bottled water specialty bar
southern_us,mexican,7,hamburger meat other vegetables rolls/buns spices bottled water hygiene articles napkins
indian,british,5,root vegetables other vegetables whole milk beverages sugar
russian,southern_us,8,pork berries other vegetables whole milk whipped/sour cream artif. sweetener soda abrasive cleaner
italian,french,3,beef grapes detergent
french,southern_us,2,pastry soda
mexican,southern_us,1,fruit/vegetable juice
mexican,french,1,canned beer
indian,british,4,root vegetables other vegetables whole milk dessert
southern_us,japanese,3,citrus fruit zwieback newspapers
italian,southern_us,6,sausage rolls/buns soda canned beer specialty bar shopping bags
greek,cajun_creole,13,tropical fruit root vegetables whole milk yogurt domestic eggs brown bread pastry sugar cereals coffee soda waffles candy
jamaican,greek,2,berries yogurt
mexican,french,1,canned beer
italian,mexican,8,butter milk yogurt cream cheese spread cheese rolls/buns bottled water soda newspapers
italian,french,1,coffee
french,southern_us,2,pastry bottled water
southern_us,italian,1,rolls/buns
mexican,chinese,1,misc. beverages
russian,mexican,10,root vegetables other vegetables butter curd whipped/sour cream UHT-milk hard cheese rolls/buns bottled water long life bakery product
italian,southern_us,4,sausage rolls/buns cat food newspapers
mexican,french,1,canned beer
indian,italian,4,ham grapes other vegetables whole milk
southern_us,italian,10,turkey tropical fruit other vegetables curd domestic eggs brown bread semi-finished bread margarine baking powder fruit/vegetable juice
mexican,southern_us,5,whole milk yogurt processed cheese pickled vegetables soda
indian,greek,4,whole milk curd yogurt pastry
mexican,british,3,packaged fruit/vegetables brown bread canned beer
southern_us,french,7,rolls/buns oil bottled water chewing gum chocolate marshmallow hygiene articles napkins
italian,russian,6,ham beef whipped/sour cream ice cream rolls/buns cat food
french,cajun_creole,3,rolls/buns pastry sugar
indian,vietnamese,7,other vegetables whole milk frozen vegetables canned fish salty snack seasonal products detergent
french,british,2,sausage pastry
indian,british,3,sausage beef whole milk
southern_us,british,5,frankfurter tropical fruit rolls/buns brown bread sugar
southern_us,french,3,rolls/buns pastry soda
indian,southern_us,1,whole milk
italian,greek,2,curd cheese coffee
french,italian,2,red/blush wine newspapers
indian,southern_us,3,sausage whole milk curd
irish,mexican,8,tropical fruit pip fruit berries whole milk frozen potato products rolls/buns pickled vegetables chocolate
french,italian,1,red/blush wine
brazilian,french,7,whole milk butter margarine specialty fat specialty chocolate candles flower (seeds)
italian,irish,8,frankfurter citrus fruit whole milk domestic eggs oil sparkling wine specialty chocolate newspapers
indian,korean,3,whole milk meat spreads soda
irish,italian,1,frozen potato products
indian,cajun_creole,4,other vegetables whole milk rolls/buns sugar
indian,british,5,citrus fruit whole milk curd butter milk pastry
indian,mexican,5,flour salt bottled water fruit/vegetable juice bottled beer
southern_us,italian,4,sugar bottled water soda bottled beer
italian,french,2,frozen meals coffee
italian,southern_us,1,chocolate
indian,british,10,root vegetables whole milk frozen vegetables domestic eggs rolls/buns oil margarine canned vegetables fruit/vegetable juice bathroom cleaner
italian,indian,4,root vegetables onions hard cheese frozen vegetables
brazilian,filipino,7,herbs condensed milk frozen vegetables salt oil white wine candles
italian,indian,1,bottled water
british,french,7,sausage root vegetables onions yogurt rolls/buns brandy detergent
italian,french,2,coffee newspapers
french,russian,3,pork other vegetables whipped/sour cream
jamaican,greek,2,berries yogurt
irish,southern_us,1,soda
jamaican,greek,1,berries
mexican,southern_us,3,fruit/vegetable juice salty snack candles
italian,southern_us,4,citrus fruit butter milk yogurt cream cheese
french,british,9,pork hamburger meat citrus fruit berries onions whipped/sour cream rice coffee chocolate
mexican,chinese,1,detergent
italian,french,2,grapes photo/film
italian,none,9,sausage sliced cheese rolls/buns brown bread fruit/vegetable juice canned beer red/blush wine waffles shopping bags
italian,chinese,10,chicken hamburger meat citrus fruit tropical fruit root vegetables other vegetables butter pasta oil detergent
indian,russian,3,whole milk yogurt brown bread
japanese,italian,2,citrus fruit tropical fruit
irish,southern_us,2,soda misc. beverages
indian,italian,9,sausage pork grapes whole milk rolls/buns pastry soda specialty bar bathroom cleaner
southern_us,filipino,3,frankfurter rolls/buns bottled water
indian,vietnamese,10,sausage whole milk yogurt coffee fruit/vegetable juice bottled beer softener napkins photo/film shopping bags
irish,southern_us,1,soda
mexican,southern_us,2,rolls/buns fruit/vegetable juice
jamaican,french,6,beef citrus fruit berries root vegetables brown bread detergent
southern_us,russian,7,whole milk whipped/sour cream rolls/buns soda waffles candy cling film/bags
mexican,southern_us,1,processed cheese
southern_us,brazilian,2,tropical fruit pip fruit
italian,chinese,10,frankfurter sausage root vegetables other vegetables rolls/buns oil pickled vegetables bottled beer chewing gum dishes
indian,southern_us,2,packaged fruit/vegetables bottled water
indian,southern_us,8,whole milk dessert frozen vegetables rolls/buns margarine bottled water red/blush wine newspapers
british,russian,2,berries whipped/sour cream
mexican,southern_us,4,citrus fruit berries UHT-milk processed cheese
indian,none,3,tropical fruit whole milk yogurt
italian,vietnamese,6,hamburger meat whole milk frozen vegetables rolls/buns bottled beer sparkling wine
vietnamese,italian,7,hamburger meat other vegetables whole milk frozen vegetables domestic eggs soda dishes
indian,italian,3,whole milk cream cheese soda
chinese,french,8,fish other vegetables pastry margarine coffee long life bakery product male cosmetics shopping bags
chinese,cajun_creole,4,frankfurter sausage long life bakery product waffles
southern_us,mexican,4,packaged fruit/vegetables dessert semi-finished bread canned beer
french,southern_us,2,pastry soda
french,italian,2,other vegetables red/blush wine
mexican,chinese,1,misc. beverages
italian,southern_us,15,frankfurter sausage citrus fruit tropical fruit pip fruit whole milk hard cheese cream cheese domestic eggs rice sugar canned fruit misc. beverages fruit/vegetable juice hygiene articles
french,italian,1,sparkling wine
southern_us,italian,1,specialty bar
italian,british,3,sausage butter milk rolls/buns
italian,greek,1,curd cheese
chinese,french,2,frankfurter dessert
indian,russian,5,whole milk yogurt beverages brown bread shopping bags
mexican,chinese,1,newspapers
jamaican,irish,2,berries soda
southern_us,french,3,curd flour liquor (appetizer)
italian,french,3,tropical fruit other vegetables coffee
irish,southern_us,1,soda
italian,southern_us,2,rolls/buns Instant food products
mexican,french,1,canned beer
mexican,french,1,canned beer
indian,southern_us,5,frankfurter sausage whole milk rolls/buns margarine
mexican,none,3,other vegetables misc. beverages canned beer
indian,southern_us,2,whole milk frozen vegetables
indian,southern_us,1,whole milk
british,southern_us,7,citrus fruit butter cream cheese white bread oil margarine newspapers
southern_us,italian,2,frankfurter rolls/buns
southern_us,italian,10,frankfurter ham pip fruit other vegetables whole milk soft cheese frozen vegetables rolls/buns sugar baking powder
southern_us,greek,5,butter milk yogurt honey soda detergent
italian,mexican,6,hamburger meat citrus fruit onions rolls/buns bottled water dental care
italian,chinese,2,pasta popcorn
italian,french,6,other vegetables whole milk meat spreads cake bar chocolate shopping bags
italian,british,7,sausage pork citrus fruit dessert white bread dishes candles
southern_us,italian,1,rolls/buns
italian,french,6,grapes other vegetables curd dessert yogurt napkins
indian,none,9,root vegetables other vegetables whole milk yogurt beverages soft cheese frozen vegetables fruit/vegetable juice bottled beer
italian,french,2,coffee shopping bags
chinese,mexican,1,popcorn
cajun_creole,indian,5,whole milk rolls/buns sugar bottled water soda
indian,italian,5,tropical fruit other vegetables packaged fruit/vegetables whole milk snack products
moroccan,french,5,beef herbs flour cling film/bags flower soil/fertilizer
indian,southern_us,4,whole milk butter dessert rolls/buns
southern_us,chinese,3,frankfurter soda chewing gum
italian,southern_us,3,tropical fruit specialty cheese bottled water
mexican,french,1,canned beer
indian,italian,4,finished products other vegetables frozen vegetables bottled beer
irish,southern_us,2,beverages soda
indian,italian,3,hamburger meat root vegetables whole milk
indian,chinese,3,whole milk pastry long life bakery product
french,southern_us,3,finished products white wine shopping bags
italian,filipino,1,other vegetables
french,southern_us,8,ham tropical fruit other vegetables whole milk white bread brown bread fruit/vegetable juice bottled beer
italian,filipino,1,other vegetables
southern_us,brazilian,5,curd butter milk cocoa drinks salty snack popcorn
mexican,british,1,bottled beer
italian,french,8,curd dessert soda salty snack waffles cake bar chocolate shopping bags
indian,southern_us,4,whole milk cream cheese cereals dog food
indian,italian,2,whole milk salt
french,italian,2,dessert ice cream
italian,southern_us,3,sausage soft cheese coffee
southern_us,moroccan,5,other vegetables bottled water waffles dishes shopping bags
indian,italian,3,ham whole milk rolls/buns
french,italian,2,other vegetables ice cream
indian,chinese,2,other vegetables bottled water
italian,french,4,soda bottled beer white wine prosecco
italian,french,2,herbs candy
southern_us,mexican,23,frankfurter ham tropical fruit pip fruit root vegetables other vegetables whole milk butter curd yogurt whipped/sour cream soft cheese sliced cheese cream cheese frozen meals frozen fish domestic eggs white bread sugar cereals fruit/vegetable juice bottled beer waffles
mexican,southern_us,2,rolls/buns canned beer
southern_us,french,7,curd cream cheese semi-finished bread zwieback cake bar specialty bar shopping bags
indian,southern_us,6,frankfurter tropical fruit whole milk spread cheese margarine shopping bags
italian,filipino,1,other vegetables
southern_us,indian,1,dog food
southern_us,italian,1,specialty bar
southern_us,none,5,curd salt liquor (appetizer) detergent shopping bags
southern_us,italian,2,frankfurter rolls/buns
irish,southern_us,1,soda
mexican,french,7,beef berries root vegetables whole milk dessert spread cheese brown bread
mexican,french,1,canned beer
southern_us,vietnamese,5,pork beef pip fruit herbs spices
southern_us,mexican,5,frankfurter citrus fruit UHT-milk margarine sugar
southern_us,irish,3,sausage bottled beer liquor (appetizer)
mexican,french,1,canned beer
italian,southern_us,1,specialty chocolate
southern_us,italian,2,curd rolls/buns
mexican,french,1,canned beer
indian,brazilian,3,whole milk bottled water newspapers
southern_us,chinese,2,rolls/buns chewing gum
indian,vietnamese,5,pork root vegetables other vegetables whole milk dishes
french,british,2,citrus fruit pastry
mexican,italian,1,potted plants
southern_us,french,3,rolls/buns pastry soda
southern_us,filipino,6,butter yogurt bottled water soda make up remover hygiene articles
brazilian,vietnamese,4,condensed milk sugar coffee shopping bags
southern_us,italian,5,sausage other vegetables yogurt soda shopping bags
indian,brazilian,4,whole milk beverages UHT-milk soda
indian,russian,6,sausage pork beef whole milk rolls/buns margarine
mexican,chinese,1,beverages
mexican,french,2,beverages specialty bar
southern_us,indian,2,bottled water fruit/vegetable juice
mexican,chinese,1,newspapers
mexican,chinese,2,cleaner female sanitary products
southern_us,italian,4,sausage soda newspapers shopping bags
mexican,chinese,1,newspapers
